Cell_ID,x,y,Ground_Truth,Cell_Type,Lineage
cell433,0.562631589360535,0.467596183065325,0.562631589360535,H,2
cell434,0.658746383246486,0.940413594711572,0.658746383246486,F,1
cell435,0.658914975483877,0.618813181528822,0.658914975483877,F,1
cell436,0.66079724702333,0.0751323294825852,0.66079724702333,F,1
cell437,0.66223450735553,0.40491871512495,0.66223450735553,F,1
cell438,0.66307686333274,0.502760121133178,0.66307686333274,F,1
cell439,0.566657088231295,0.173426531488076,0.566657088231295,H,2
cell440,0.663846523951111,0.510353581048548,0.663846523951111,F,1
cell441,0.936897463398054,0.127021112013608,0.936897463398054,J,3
cell442,0.665468102358783,0.0757349960040301,0.665468102358783,F,1
cell443,0.717364880954847,0.513808116549626,0.717364880954847,J,3
cell444,0.0753287205006927,0.0050714584067463,0.0753287205006927,H,2
cell445,0.664827089756727,0.953372774878517,0.664827089756727,H,2
cell446,0.374701439635828,0.89447436039336,0.374701439635828,H,2
cell447,0.672553010802525,0.931765854591504,0.672553010802525,F,1
cell448,0.677762739820088,0.165924578672275,0.677762739820088,F,1
cell449,0.678112957704492,0.0276626038830727,0.678112957704492,F,1
cell450,0.488433406921104,0.0306000094860792,0.488433406921104,H,2
cell451,0.684078471682732,0.440177096519619,0.684078471682732,F,1
cell452,0.696596003741611,0.0183699144981802,0.696596003741611,F,1
cell453,0.666289806133136,0.325922396266833,0.666289806133136,J,3
cell454,0.697482327512507,0.265834062825888,0.697482327512507,F,1
cell455,0.169872381025925,0.944433726370335,0.169872381025925,J,3
cell456,0.704048414515799,0.914119746768847,0.704048414515799,F,1
cell457,0.650857521686703,0.257325597573072,0.650857521686703,J,3
cell458,0.715099721117248,0.369473659433424,0.715099721117248,F,1
cell459,0.891439946368337,0.309892217861488,0.891439946368337,H,2
cell460,0.722112223420888,0.259757284307852,0.722112223420888,F,1
cell461,0.544564574025571,0.846454831073061,0.544564574025571,J,3
cell462,0.733956787485071,0.548801568103954,0.733956787485071,F,1
cell463,0.736473380714604,0.72207729308866,0.736473380714604,F,1
cell464,0.651355870766565,0.43462497740984,0.651355870766565,J,3
cell465,0.219537548022345,0.750053239054978,0.219537548022345,J,3
cell466,0.761388207442388,0.0412936159409583,0.761388207442388,F,1
cell467,0.765127126756374,0.234604151686653,0.765127126756374,F,1
cell468,0.773001080024986,0.990359937073663,0.773001080024986,F,1
cell469,0.800369155271835,0.0084389906842261,0.800369155271835,F,1
cell470,0.802146261894438,0.666657964000478,0.802146261894438,F,1
cell471,0.817266485436813,0.452186366776004,0.817266485436813,F,1
cell472,0.620670910226181,0.72247750335373,0.620670910226181,H,2
cell473,0.827469535642171,0.607527847401798,0.827469535642171,F,1
cell474,0.845506098923381,0.347996318712831,0.845506098923381,F,1
cell475,0.864666095722811,0.425692388555035,0.864666095722811,F,1
cell476,0.865958902713921,0.0947117262985557,0.865958902713921,F,1
cell477,0.874759971462739,0.316571343922988,0.874759971462739,F,1
cell478,0.560432892525569,0.586464403895661,0.560432892525569,J,3
cell479,0.349750127410516,0.896814921637997,0.349750127410516,J,3
cell480,0.875809380987479,0.328234257409349,0.875809380987479,F,1
cell481,0.881545318004793,0.530497326282784,0.881545318004793,F,1
cell482,0.896566254552454,0.481857254635543,0.896566254552454,J,3
cell483,0.936195561756364,0.642707927618176,0.936195561756364,F,1
cell484,0.274140822002664,0.748364853672683,0.274140822002664,J,3
cell485,0.940446356178766,0.446663708658889,0.940446356178766,F,1
cell486,0.224107860121876,0.786194214364514,0.224107860121876,H,2
cell487,0.949526208243547,0.687884597573429,0.949526208243547,F,1
cell488,0.730942641152069,0.174452907871455,0.730942641152069,H,2
cell489,0.953387139648351,0.770406495779753,0.953387139648351,F,1
cell490,0.858652662253007,0.022396037587896,0.858652662253007,J,3
cell491,0.909025728935376,0.289067943114787,0.909025728935376,H,2
cell492,0.958599901617348,0.831929683219641,0.958599901617348,F,1
cell493,0.963484763133461,0.783903611358255,0.963484763133461,F,1
cell494,0.0800940494518727,0.862499550217763,0.0800940494518727,J,3
cell495,0.0776207449380308,0.241166652645916,0.0776207449380308,J,3
cell496,0.966231154043377,0.768918745452538,0.966231154043377,F,1
cell497,0.975278613077415,0.599541562376544,0.975278613077415,F,1
cell498,0.981034260931564,0.151021520607173,0.981034260931564,F,1
cell499,0.993126457486215,0.494468006305397,0.993126457486215,F,1
cell500,0.500350198475644,0.664954144740477,0.500350198475644,H,2
